filename,repetition,participant_id,average_time_between_vocalizations,cycle_to_cycle_variability,diadochokinetic_rate,early_relative_pace_stability,late_relative_pace_stability,pace_stability,resonant_frequency_attenuation,std_time_between_vocalizations,syllable_lengths_mean,syllable_lengths_sd,average_mfccs_1,average_mfccs_2,average_mfccs_3,average_mfccs_4,alpha_ratio_mean,alpha_ratio_sd,apq11_shimmer,apq3_shimmer,apq5_shimmer,dda_shimmer,ddp_jitter,duration,f1_bandwidth_mean,f1_bandwidth_sd,f1_frequency_mean,f1_frequency_sd,f1_relative_energy_mean,f1_relative_energy_sd,f2_bandwidth_mean,f2_bandwidth_sd,f2_frequency_mean,f2_frequency_sd,f2_relative_energy_mean,f2_relative_energy_sd,f3_bandwidth_mean,f3_bandwidth_sd,f3_frequency_mean,f3_frequency_sd,f3_relative_energy_mean,f3_relative_energy_sd,h1_a3_harmonic_difference_mean,h1_a3_harmonic_difference_sd,h1_h2_harmonic_difference_mean,h1_h2_harmonic_difference_sd,hammarberg_index_mean,hammarberg_index_sd,hnr_mean,hnr_sd,local_jitter,local_absolute_jitter,local_dB_shimmer,local_shimmer,loudness_mean,loudness_sd,pause_durations_sum,pause_durations_mean,pause_durations_sd,number_of_pauses,pause_rate,ppq5_jitter,rap_jitter,rate_loudness_peaks,signal_to_noise_ratio,spectral_slope_0_500_mean,spectral_slope_0_500_sd,spectral_slope_500_1500_mean,spectral_slope_500_1500_sd,speech_ratio,utterance_durations_sum,utterance_durations_mean,utterance_durations_sd,vocal_tremor,pitch_max,pitch_min,pitch_mean,pitch_std,pitch_range,pitch_coefficient_of_variation,pitch_skewness,pitch_kurtosis,pitch_first_quartile,pitch_second_quartile,pitch_third_quartile,pitch_q2_q1_range,pitch_q3_q2_range,pitch_q3_q1_range,pitch_percentile_1,pitch_percentile_99,pitch_percentile_1_99_range,pitch_percentile_20,pitch_percentile_80,pitch_percentile_20_80_range,pitch_linear_regression_offset,pitch_linear_regression_slope,pitch_linear_regression_mse
PN512b,b,PN512,0.062737,0.094703,5.739514,110,132.5,247.694929,0.356021,0.05286,0.114462,0.022199,161.094208,3.294715,-3.851554,-29.603754,5.865166,1.825182,11.879882,4.55039,6.662608,13.65117,5.927442,7.101438,205.59652,141.66017,539.025625,54.002386,1.271892,5.34318,300.828839,200.439509,1148.637317,134.866526,-8.274784,4.154835,423.121941,219.319522,2467.396887,204.931624,-26.553018,3.701477,-24.731091,3.631322,0.241751,2.117471,28.641917,3.048238,-115.560051,102.652486,3.91994,0.0258,127.960138,12.614226,-32.911884,7.879562,3.79,0.099737,0.06819,38,0.533695,2.606143,1.975814,12.645591,-0.000589,3.301577,2.169011,-15.179342,4.039786,0.423154,3.005,0.077051,0.01584,70.096387,165.941896,116.143311,150.448581,5.768172,49.798585,0.03834,-1.603988,7.504184,147.843704,151.002043,153.786111,3.158339,2.784068,5.942407,129.506403,160.484212,30.977808,146.745007,154.566809,7.821803,153.433649,-0.029123,30.272624
PN16_3Ra,a,PN16,0.050286,0.012235,6.277245,186.328125,188.671875,63.584344,0.475023,0.007785,0.108889,0.010546,156.850906,-2.693019,7.965903,-12.235565,5.158764,2.1203,,7.857904,11.177113,23.573711,6.03443,5.84975,344.341563,211.420944,568.430373,115.215767,-2.216728,4.513917,489.613012,377.680462,1397.515498,203.384755,-13.221596,4.999122,951.679607,516.198927,2432.810211,357.051068,-25.286929,6.185011,-23.1055,6.473925,6.977739,3.403393,27.036911,4.901364,-124.64113,98.984422,5.106693,0.053047,142.522014,15.753296,-41.572762,6.902504,3.54,0.101143,0.018404,35,0.605154,4.045473,2.011477,16.400911,-0.001417,-0.479113,1.639928,-10.456026,2.467361,0.37523,2.195,0.060972,0.023268,227.72393,118.275724,79.839814,95.216739,7.72813,38.435909,0.081164,0.691361,0.227388,88.89852,94.446201,99.355949,5.547681,4.909749,10.457429,81.33166,115.062132,33.730472,88.032832,101.019007,12.986175,104.888567,-0.129823,28.124026
PN405a,a,PN405,0.050759,0.013474,5.542508,92.045455,108.238636,76.362875,0.582083,0.009916,0.128814,0.010383,134.275742,-7.496536,3.932775,-10.741924,8.669518,4.818227,13.208101,3.92251,6.320367,11.767531,3.4976,10.83575,453.185127,225.819735,543.187354,199.626291,-10.739438,4.312768,448.541018,259.522856,1435.706866,267.004127,-21.532354,5.726191,561.217064,313.771955,2647.183698,291.636959,-32.896709,5.268923,-23.426821,4.385727,5.462202,2.948855,30.145335,6.405126,-78.053719,104.271386,3.264009,0.021809,124.051878,12.848074,-36.527677,5.535549,5.045,0.085508,0.019391,59,0.465588,1.495182,1.165867,10.535714,-0.000978,1.597895,2.681945,-7.835049,4.966218,0.516808,5.6,0.093333,0.020507,75.504508,171.469681,92.84639,148.005657,9.73122,78.623292,0.065749,-1.270526,3.876952,142.602603,149.334518,154.361319,6.731915,5.026802,11.758716,110.64335,166.057606,55.414256,141.457073,155.558061,14.100988,147.422709,0.002093,94.582959
PN503a,a,PN503,0.042947,0.023784,6.351792,102.925532,104.521277,49.852658,0.628837,0.009784,0.118154,0.023653,138.810104,-23.88258,-11.311696,-12.310346,2.402766,0.644415,8.278443,3.473651,4.617807,10.420953,6.077535,6.413,160.980207,58.080619,647.074561,52.420303,6.289324,2.507218,187.208535,145.636663,1419.622414,121.969629,0.142078,2.30587,264.676873,172.292459,2571.429899,152.740057,-12.19311,3.366665,-12.182239,3.616798,3.613627,1.770569,19.560704,3.730945,-109.702503,102.637197,3.530966,0.02674,97.855017,9.951477,-33.56098,8.441706,3.335,0.087763,0.011904,38,0.520037,2.964515,2.025845,13.547237,-0.000531,2.144202,1.470547,-8.025805,1.976718,0.437393,2.805,0.071923,0.01697,111.719632,143.242049,113.585528,130.485285,5.92299,29.65652,0.045392,-0.028392,0.006265,126.668293,130.337899,134.140704,3.669606,3.802805,7.47241,114.929011,142.989805,28.060794,126.093922,134.624168,8.530246,138.149398,-0.120695,15.193928
HC421b,b,HC421,0.045333,0.026435,6.418485,107.608696,116.576087,90.470768,0.569237,0.017689,0.10752,0.013963,161.283127,-6.158508,3.121064,-0.150262,5.500606,1.873219,,6.955694,6.851708,20.867082,6.849787,4.060062,178.883902,85.720915,573.140394,71.279331,-2.412975,3.485847,364.046233,178.375528,1387.729996,173.918963,-14.263345,3.702301,486.944419,312.772708,2328.08136,212.591754,-23.006282,4.921965,-15.457993,5.04308,0.875853,2.23352,25.471236,3.6644,-108.722162,101.866968,4.581376,0.040085,134.568568,15.307864,-39.051739,8.489873,2.24,0.0896,0.020392,25,0.551716,2.13041,2.283262,15.10574,-0.001023,-0.758644,1.455391,-12.567577,2.361423,0.407629,1.655,0.063654,0.018164,656.718106,127.267498,93.038711,112.080791,6.558366,34.228787,0.058515,-0.207031,0.213095,108.954006,112.41406,115.610163,3.460053,3.196103,6.656156,96.623965,125.461682,28.837717,106.956809,117.15051,10.1937,112.168967,-0.002151,43.009511
PN05_3Rb,b,PN05,0.038128,0.029591,6.819813,130.5,139.5,60,0.753033,0.029438,0.109811,0.019645,164.062531,1.175912,8.925036,8.701663,9.199448,4.066564,26.893386,6.771082,9.334907,20.313247,7.008484,14.64025,254.853586,178.033795,489.838787,137.340229,-7.313937,4.187918,417.681956,302.318139,1382.01282,237.188804,-19.952181,4.968735,523.994502,347.080954,2368.510104,300.111296,-30.061956,5.416841,-21.507558,4.840199,2.703784,3.278554,30.159693,4.790759,-87.627738,103.420983,4.830096,0.04417,144.592581,16.068801,-34.961401,5.992722,7.295,0.076789,0.027965,95,0.498284,3.094581,2.336161,14.167295,-0.00076,-1.51717,2.162792,-11.730335,3.014556,0.453203,6.635,0.069115,0.021164,125.668618,134.718811,81.113507,109.098198,8.743056,53.605304,0.080139,0.071669,-0.054747,102.906199,108.808584,114.922437,5.902385,6.113853,12.016237,88.836478,129.574825,40.738347,101.411293,116.355713,14.94442,120.512759,-0.034433,32.879276
HC405a,a,HC405,0.056552,0.044351,6.704545,182.142857,184.285714,385.976102,1.017593,0.046621,0.092203,0.015956,146.927902,-36.449841,23.183332,-10.661046,3.333232,1.750002,13.342822,2.881779,4.52565,8.645337,4.972822,8.93125,232.883297,110.8186,588.07753,57.839271,-1.179219,3.80668,280.868977,160.71035,1479.6812,153.569583,-8.708933,5.664242,363.19361,179.171528,2439.246323,134.837693,-17.733307,7.304128,-8.32027,6.713876,-4.304045,3.354557,20.230789,5.716851,-138.747896,93.428339,4.092054,0.029818,130.745877,12.229043,-38.606103,8.633362,5.765,0.104818,0.060407,55,0.645486,2.421279,1.657607,17.792422,-0.000789,0.402033,2.117082,-9.138898,2.628247,0.339818,3.035,0.054196,0.025474,161.687378,155.857323,103.603541,134.213408,11.210304,52.253783,0.083526,-0.376848,-0.33807,127.549893,134.14433,142.997238,6.594437,8.852908,15.447345,105.901558,153.431623,47.530065,124.71878,143.938259,19.219479,130.3513,0.046813,120.6387
PN413b,b,PN413,0.045767,0.031238,6.276748,94.921875,106.640625,83.326823,0.801433,0.019392,0.110182,0.019362,141.748383,12.751846,7.689624,12.698387,8.284705,5.686295,18.531171,7.816096,9.501773,23.448289,6.530463,7.090063,528.556231,316.325224,653.24609,244.234832,-11.921913,4.894206,539.60604,338.390681,1618.273819,313.428086,-22.93312,5.756948,673.624932,341.835702,2817.599995,360.850728,-33.597355,4.553815,-21.969988,4.871105,0.690798,4.043946,29.702572,5.41326,-83.259948,102.326115,5.331814,0.049719,145.955912,17.885446,-43.849884,7.17304,2.56,0.056889,0.019925,45,0.361069,2.598527,2.176821,10.11236,-0.001756,-2.659563,1.649877,-6.093922,4.575409,0.627639,4.45,0.096739,0.027843,232.212782,128.399924,70.184363,104.916282,8.743527,58.215561,0.083338,-0.38415,0.497405,100.120656,105.525062,110.222961,5.404406,4.697899,10.102305,83.543602,122.927843,39.384241,99.057205,111.176935,12.11973,104.654371,0.001455,76.426267
PN506b,b,PN506,0.053,0.042839,6.401552,99.038462,118.269231,138.834967,-0.035933,0.022068,0.106182,0.021145,180.348251,7.933469,16.195917,-21.488594,12.175351,3.72698,14.894289,5.501832,8.408834,16.505496,6.279205,5.40425,204.415088,140.261955,518.969777,46.083199,-0.513148,2.742048,599.849439,267.337837,1106.559902,206.799638,-14.871467,5.590573,606.611443,357.431804,2413.442125,210.698097,-30.913476,4.138786,-25.787027,3.715397,-1.9964,2.180973,31.099114,3.616652,-100.723089,104.687131,4.151301,0.027727,140.606686,14.567486,-40.292137,7.178767,2.465,0.077031,0.031914,32,0.456122,2.887812,2.093068,11.895911,-0.001386,2.54645,2.005227,-18.824436,4.346237,0.497756,2.69,0.081515,0.03211,81.124422,163.373624,114.024156,148.553857,7.578996,49.349468,0.051019,-1.279142,2.661955,145.58805,149.952269,153.023829,4.364218,3.071561,7.435779,125.728645,161.834385,36.10574,144.630288,154.310577,9.680289,153.049146,-0.046583,50.635502
PN315b,b,PN315,0.032,0.018286,7.228916,116.447368,122.368421,53.39901,0.415038,0.009396,0.1088,0.011973,157.934555,-4.843881,-0.668346,7.71789,7.225545,2.210465,7.921381,4.02235,6.090369,12.067049,4.162523,4.407813,251.541055,117.059919,521.031171,81.333861,-3.24198,3.10878,436.15837,243.311101,1476.711377,160.734104,-17.309933,3.246579,683.495789,456.791225,2615.104949,190.855229,-30.186247,4.542592,-28.148591,4.058627,3.748573,2.116556,30.793103,4.189455,-96.978636,104.771029,3.352535,0.018763,107.02931,11.449486,-45.702185,8.882308,2.205,0.076034,0.013286,29,0.500248,1.456424,1.387508,14.910026,-0.001747,1.570591,2.133335,-12.689108,2.258808,0.441262,1.945,0.064833,0.010915,128.078815,215.481624,137.254708,173.547268,14.119019,78.226916,0.081355,0.400868,0.794344,165.480184,173.128832,179.971908,7.648649,6.843075,14.491724,141.491489,213.25469,71.763201,163.589446,183.320699,19.731253,186.748731,-0.166056,140.523092
HC360b,b,HC360,0.048432,0.044889,5.637982,159.926471,166.544118,94.209514,0.089945,0.010837,0.127158,0.035955,165.014679,-16.044401,-9.021238,-13.423308,5.023984,1.81155,9.767229,6.026706,6.188285,18.080117,5.540366,6.884375,167.404939,81.145529,650.643579,55.619435,5.740756,4.567745,372.279977,174.735532,1310.558054,168.257662,-5.848153,4.532982,360.91253,243.619703,2527.887652,173.607577,-18.81511,5.920399,-18.102883,5.634764,-0.457629,3.67159,25.884419,6.395336,-103.267615,103.565176,3.278176,0.022208,123.113135,13.281303,-41.814482,7.132433,3.57,0.096486,0.023534,37,0.518566,2.10171,1.846789,11.671924,0.000025,2.857638,1.88821,-14.769277,3.347245,0.460463,3.17,0.083421,0.031311,54.312849,173.414999,76.503707,150.450863,23.084644,96.911293,0.153436,-1.712428,2.376037,146.080695,157.705988,165.89832,11.625293,8.192332,19.817625,76.551036,173.387174,96.836138,138.504319,168.630356,30.126037,169.461412,-0.237632,410.927956
PN510b,b,PN510,0.046667,0.016,6.474191,118.902439,122.560976,52.764165,0.684999,0.010242,0.112,0.017047,165.378357,1.465096,8.185148,-0.918828,7.356421,2.978244,7.977792,6.054518,8.339903,18.163554,8.302393,6.054812,268.329868,164.223199,502.191026,90.891885,-6.235723,2.709995,379.809481,339.241032,1334.756945,162.675188,-17.658307,4.152533,719.982277,432.15798,2642.816842,209.76113,-33.429639,3.96045,-26.604439,3.461959,4.692803,2.393071,32.861484,3.89808,-101.299902,103.986943,5.605621,0.046645,131.224377,15.274284,-44.212955,6.920578,3.025,0.084028,0.015671,36,0.499603,3.494022,2.767464,13.011152,-0.001716,-0.78558,1.80175,-11.693953,3.095551,0.444275,2.69,0.072703,0.017383,274.459064,142.864762,103.798941,119.742571,6.541706,39.065821,0.054631,0.263884,0.178687,114.843012,120.020588,123.648196,5.177576,3.627608,8.805185,107.121108,136.384219,29.26311,114.162339,124.745115,10.582776,123.167223,-0.030577,38.849603
